,Season,No. overall,No. in season,Title,Directed by,Written by,Original air date,Us viewers (millions),Description,Final diagnosis
57,3,58,12,"One Day, One Room",Juan J. Campanella,David Shore,2007-01-30,27.34,"House beats the drug charges and is back at the hospital after a short stint in rehab. Tired of House's disdain for patients, Cuddy turns his clinic duty into a game, with the stakes raised to a level that speaks to House: challenge. When he encounters Eve, who is tested positive for an STD and admits she has very recently been raped, she refuses to be treated by anyone but House. Meanwhile, Cameron encounters a homeless manwith a critical condition and a very specific request from her.","Chlamydia and pregnancy due to rape (Eve), lung cancer (homeless man)"
58,3,59,13,Needle in a Haystack,Peter O'Fallon,David Foster,2007-02-06,24.88,"16-year-old Stevie Lipa is admitted to Princeton-Plainsboro with a serious respiratory condition and internal bleeding. He is assigned to House, but he is busy fulfilling a dare given to him by Cuddy. When it's revealed that Stevie is Romani and the team encounters troubles with his parents, Foreman is forced to ask Stevie to lie directly to his parents, risking his medical license.",Undigested toothpick
59,3,60,14,Insensitive,Deran Sarafian,Matthew V. Lewis,2007-02-13,25.99,"A girlwith CIPA, a rare condition in which the sufferer cannot feel pain, gets in a car accident. Once her testing is done, she begins developing high fevers with multiple seizures and is rapidly deteriorating.",Fish tapeworm causing Vitamin B12 deficiency
60,3,61,15,Half-Wit,Katie Jacobs,Lawrence Kaplow,2007-03-06,24.4,"A brain-damaged musical savanthas seizures despite being on anti-seizure medications. When his team learns that House has entered himself for brain cancer treatment, they attempt to comfort him, but House simply turns them away.",Takayasu's arteritis
61,3,62,16,Top Secret,Deran Sarafian,Thomas L. Moran,2007-03-27,20.8,"House treats a U.S. Marine returning from Iraq, who has symptoms consistent with Gulf War Syndrome. However, after House has a dream about the Marine despite having never met him before, the case becomes more complicated, alongside a physical problem that House has to overcome.",Hereditary hemorrhagic telangiectasia
62,3,63,17,Fetal Position,Matt Shakman,Russel Friend & Garrett Lerner,2007-04-03,20.35,"Celebrity photographer Emma Sloan, who is pregnant, is brought to the hospital after suffering a stroke in the middle of a photo shoot. Although Emma's condition initially stabilizes, her health takes a turn for the worse when her kidneys fail.  Emma, who had miscarriages in the past and feels this is her last opportunity to have a child, is more concerned about her baby's well-being than her own. Meanwhile, the secret relationship between Cameron and Chase is exposed to Foreman and Cuddy, and House makes extravagant plans to take a much-needed vacation.",Maternal mirror syndrome (Emma) and Congenital cystic adenomatoid malformation (Emma's baby)
63,3,64,18,Airborne,Elodie Keene,David Hoselton,2007-04-10,21.57,"House and Cuddy face a widespread outbreak on their plane back from a symposium in Singapore, while Wilson and the rest of the team treat a 58-year old woman with constant seizures who is hiding secrets about her lifestyle.","Decompression sickness (Peng), Methyl bromide poisoning (Fran) and hysterical conversion (Other passengers)"
64,3,65,19,Act Your Age,Daniel Sackheim,Sara Hess,2007-04-17,22.41,"A six-year-old girl suffers ailments expected in much older patients. Tensions mount between Chase and Cameron, leading House to intentionally assign them to the same tasks, including investigating the young girl's home, where they find something possibly incriminating on the girl's father. Another clue presents itself in the girl's 8-year-old brother's sexual precocity.",Precocious puberty due to externally applied testosterone
65,3,66,20,House Training,Paul McCrane,Doris Egan,2007-04-24,20.81,"A scam artist loses her ability to make decisions. While House and the team struggle to find the underlying cause, the case becomes personal for Foreman.",Staphylococcus aureus infection
66,3,67,21,Family,David Straiton,Liz Friedman,2007-05-01,21.13,"A 14-year-old leukemia patient's only hope of survival is a bone marrow transplant from his younger brother, but when he gets sick, the team must race against time to save both siblings. Meanwhile, Foreman must deal with the consequences of the previous case.",Histoplasmosis
67,3,68,22,Resignation,Martha Mitchell,Pamela Davis,2007-05-08,21.36,"Speculation over Foreman's resignation continues, while a young girl named Addie is admitted after bleeding from the mouth during martial arts practice and House and Wilson are secretly concerned about each other.",Unnamed infection from Arteriovenous fistula in small intestine secondary to ingestion of drain cleaner in suicide attempt
68,3,69,23,The Jerk,Daniel Sackheim,Leonard Dick,2007-05-15,21.19,"House meets his match in the form of Nate, an obnoxious 16-year-old chess prodigy with intense head pain and behavioral issues, who manages to annoy and offend every member of the team during his course of treatment. Meanwhile, Foreman's frustration with House reaches a new level when he believes House sabotages his job interview with another hospital.",Haemochromatosis
69,3,70,24,Human Error,Katie Jacobs,Thomas L. Moran & Lawrence Kaplow,2007-05-29,17.23,"House and the team take on the case of a young woman who, along with her husband, is rescued at sea en route from Cuba in a desperate attempt to personally see House and get a diagnosis for her illness. During her stay in the hospital, she develops a new symptom: her heart stops – but she miraculously keeps talking. Foreman prepares for his last day at Princeton-Plainsboro Teaching Hospital.",Congenital heart defect (infected third coronary artery ostium)
70,4,71,1,Alone,Deran Sarafian,Story by : Peter BlakeTeleplay by : Peter Blake & David Shore,2007-09-25,14.52,"When an office building collapses, House has to work fast to diagnose a young woman, Megan, who has managed to survive the disaster. Without a team, House talks through his ideas with a janitor at Princeton-Plainsboro. As House persists in diagnosing Megan by himself, he soon realizes the case is not what it appears to be and that solitude may not be the answer.","Demerol and antidepressant interaction, delirium tremens, interaction between the pill and other blood thinners, and allergy to cephalosporin (Liz); mistaken identity (Megan)"
71,4,72,2,The Right Stuff,Deran Sarafian,Doris Egan & Leonard Dick,2007-10-02,17.44,"House systematically begins eliminating his new team candidates, until he is approached by a fighter pilot named Greta, a candidate for NASA's astronaut training program. Greta suffers from a neurological disorder, where she converts sounds to visual images. Knowing NASA will reject any possibility of her becoming an astronaut if they knew of her problem, Greta begs House to treat her in secret. Meanwhile, House is ruffled when he thinks he sees Cameron, Chase and Foreman in the hospital hallways.",Von Hippel–Lindau disease
72,4,73,3,97 Seconds,David Platt,Russel Friend & Garrett Lerner,2007-10-09,18.03,"The final ten fellowship candidates compete ferociously against each other when House splits them into two teams by gender. They are assigned to diagnose and treat a wheelchair user with spinal muscular atrophy who is slowly suffocating. As the teams try to outdo the other, complications arise. Meanwhile, Foreman runs his own team at another hospital, and resorts to using a very ""House-like"" treatment to help a patient.",Strongyloidiasis
73,4,74,4,Guardian Angels,Deran Sarafian,David Hoselton,2007-10-23,18.1,"While having a seizure, a funeral home cosmetician hallucinates she is being violently raped by one of the cadavers. When she is admitted to the hospital, she acts as though her dead mother is in the room with her. While Cameron offers advice to one of the remaining candidates for House's team, a recently fired Foreman has lunch with Cuddy, discussing his current situation.",Ergotism
74,4,75,5,Mirror Mirror,David Platt,David Foster,2007-10-30,17.29,"Foreman returns to Princeton-Plainsboro and is assigned to oversee House's candidates. A man is mugged and suffers from a respiratory arrest. Though he has no memories of who he is, he can read the personality of the most dominant person in the room, applying it to himself to create a temporary identity. This is due to a rare disease known as Giovannini Mirror Syndrome. House becomes intrigued by the accuracy of this judge of character and manipulates the patient to judge others, while a team member wonders if House is more dominant than Cuddy.",Eperythrozoon infection (resulting from exposure to pig feces)
75,4,76,6,Whatever It Takes,Juan J. Campanella,Story by : Thomas L. MoranTeleplay by : Thomas L. Moran & Peter Blake,2007-11-06,18.17,"House is recruited by the CIA to help diagnose a deathly ill agent. The agent's case is spearheaded by Dr. Samira Terzi, who offers very little information on the agent's history or previous assignments. With limited information, House uses some unorthodox methods to try to determine a diagnosis in time to save his patient's life. Meanwhile, Foreman faces a huge uphill battle from the remaining fellowship candidates when they start questioning his judgment while arguing over the proper diagnosis of a female drag car racer who passes out after a race.","Selenosis (John) and Heat stroke, followed by deliberate in-hospital Thallium poisoning to mimic Polio (Casey)"
76,4,77,7,Ugly,David Straiton,Sean Whitesell,2007-11-13,16.95,"House and his team are followed by a documentary film crew as they treat a teenager with a major facial deformity, who suffers a heart attack prior to a reconstructive procedure. As they work to diagnose the teen, House finds himself distracted by several of the candidates vying for a spot on his team, causing him to question his own motives for having chosen them.",Lyme disease
77,4,78,8,You Don't Want to Know,Lesli Linka Glatter,Sara Hess,2007-11-20,16.88,"House encounters a magician whose heart fails when performing an underwater escape act. While the remaining fellowship candidates work to diagnose him, House is determined to prove he is a scam artist faking his ailments to cover up the fact he nearly drowned during his act. In the meantime, House pits his team against one another in a challenge involving Cuddy, granting the winner immunity from elimination and a chance to nominate two other candidates to be put on the chopping block.",Autoimmune hemolytic anemia in systemic lupus erythematosus
78,4,79,9,Games,Deran Sarafian,Eli Attie,2007-11-27,16.96,"House assigns the candidates to a particularly challenging case involving an uncooperative punk guitaristwith a history of drug abuse and civil disobedience, while Cuddy orders House to make a final decision and hire his new team. House promises a guaranteed position for the candidate who correctly diagnoses the patient. Meanwhile, Wilson informs a former patient he misdiagnosed him with terminal cancer and is now going to live and must deal with the consequences of his procedures.",Measles
79,4,80,10,It's a Wonderful Lie,Matt Shakman,Pamela Davis,2008-01-29,22.56,"House and his new team composing of the three lucky applicants, Chris Taub, Lawrence Kutner and Thirteen treat a woman who suffers from a sudden paralysis of the hands, causing an injury to her daughter while she is watching her at an indoor rock-climbing wall. As House probes the woman and her injured daughter for any leads as to what might be causing her condition, he becomes convinced that the mother is withholding information.",Breast cancer in displaced breast tissue
80,4,81,11,Frozen,David Straiton,Liz Friedman,2008-02-03,29.04,"When Dr. Cate Milton, a psychiatrist trapped in the South Pole and the research station's only doctor, becomes ill in the middle of her assignment, she and House are thrust into a long-distance relationship of sorts. Unable to get Cate out or any additional medical supplies to the South Pole station, House and his team must resort to treating her via webcam. Meanwhile, House sends Taub, Kutner and Thirteen to harass Cameron until she gets cable for his office and he attempts to discover the identity of Wilson's new girlfriend.",Fat embolism from unrepaired broken toe
81,4,82,12,Don't Ever Change,Deran Sarafian,Doris Egan & Leonard Dick,2008-02-05,23.15,"House and the team encounters a womanadmitted to Princeton-Plainsboro after she collapses at her wedding. Her test results come up negative for a variety of common diseases, which leads the team to suspect foul play, but when they discover the woman is a former music producer living in the fast lane until she began to practice Hasidic Judaism, House insists people do not change, and her seemingly rash decision may be a symptom of the underlying condition.",Nephroptosis
82,4,83,13,No More Mr. Nice Guy,Deran Sarafian,David Hoselton & David Shore,2008-04-28,14.51,"House suspects an emergency room patient has a bigger problem than the E.R. initially diagnosed based on the fact that the patient is too nice. A skeptical House questions the patient's sunny disposition as the team tries to get to the bottom of his illness, but disagrees with House that niceness is a symptom. Meanwhile, House is at odds with Wilson's girlfriend, Amber, about how much time they each get to spend with Wilson, and Cuddy demands House give his team performance reviews.",Chagas disease
83,4,84,14,Living the Dream,David Straiton,Sara Hess & Liz Friedman,2008-05-05,13.26,"House is convinced one of the actors on his favorite soap operahas a serious medical condition, after observing his symptoms on television. He decides to intervene and take matters into his own hands, but both the actor and House's team dismiss his assessment and do not believe there is anything wrong. Meanwhile, Wilson and Amber have their first argument and Cuddy tries to keep up appearances when an inspector makes an unexpected visit to Princeton-Plainsboro.",Hypersensitivity vasculitis due to Quinine allergy
84,4,85,15,House's Head,Greg Yaitanes,Story by : Doris EganTeleplay by : Peter Blake & David Foster & Russel Friend & Garrett Lerner,2008-05-12,14.84,"House finds himself dazed, confused and covered in blood after surviving a bus accident that left dozens seriously injured. Unable to clearly recall the events leading up to the crash due to his head injuries, House is convinced through his flashbacks a fellow bus passenger is exhibiting signs of a deadly illness prior to the crash. Much to the team's dismay, House pushes through the pain of his injuries, desperate to piece together the fragments of his shattered memory in order to save someone who might not even know he could be dying. And once he learns the truth, he and his team are left shellshocked when it's discovered that Amber Volakis, Wilson's girlfriend, is the one who's dying.",Displaced Air embolism from dental surgery causing myoclonic jerk
85,4,86,16,Wilson's Heart,Katie Jacobs,"Peter Blake, David Foster, Russel Friend & Garrett Lerner",2008-05-19,16.16,"As the team rushes to find the underlying cause of Amber's injuries, clues inside House's head may hold the key and House's friendship with Wilson is tested as memories from the bus accident the night before threaten their relationship. Meanwhile, Thirteen struggles to cope with her own personal health problems whilst treating Amber.",Amantadine poisoning due to kidney trauma
86,5,87,1,Dying Changes Everything,Deran Sarafian,Eli Attie,2008-09-16,14.77,"Two months have passed since Amber Volakis's shocking death. Unable to cope, Wilson resigns from the hospital, while Cuddy desperately tries to get him and House to repair their shattered friendship. Meanwhile, Thirteen struggles with her own diagnosis of Huntington's and helps to treat an executive assistantwith a similar personality to her own.",Diffuse leprosy of Lucio and Latapí
87,5,88,2,Not Cancer,David Straiton,David Shore & Lawrence Kaplow,2008-09-23,12.37,"An organ donor's organs are responsible for the deaths of several patients, and the team works against the clock to save the last two recipients. Meanwhile, House hires private detective Lucasto spy on Wilson, as well as his team, during the differentials.",Transplanted cancer stem cells
88,5,89,3,Adverse Events,Andrew Bernstein,Carol Green & Dustin Paddock,2008-09-30,12.97,"A painter'sundiagnosed illness begins to affect his work, but he is unable to see his art is suddenly grotesque. He is brought to Princeton-Plainsboro Hospital, though he claims that he is getting better. House grows suspicious when he learns that the painter was fearful of a test involving the injection of a dye. It is later revealed that he is on three separate drug trials, which he was hiding from his girlfriend. Meanwhile, House continues to use Lucas to obtain information about his team and to learn more about Cuddy's personal life.",Food Bolus Bezoar complicated by massive experimental pharmaceutical drug intake
89,5,90,4,Birthmarks,David Platt,Doris Egan & David Foster,2008-10-14,13.26,"House is coerced into going to his father's funeral despite his protests. His team takes on the case of a young womanwho collapsed while in China searching for her birth parents. House works with the team via cell phone, while Wilson drives him—reluctantly—to the funeral. House's phone is taken by a cop mid-diagnosis and the team must decipher House's last statement. Meanwhile, the story of how House and Wilson met for the first time is revealed.",Metal pins in brain (from attempted infanticide) displaced by a magnet.
90,5,91,5,Lucky Thirteen,Greg Yaitanes,Liz Friedman & Sara Hess,2008-10-21,13.08,"Thirteen takes a womanwith whom she had a one-night stand to Princeton-Plainsboro after the woman has a seizure in Thirteen's apartment. House and the team take on her case, House using it as an opportunity to explore Thirteen's personal life. Thirteen ends up finding out the patient only slept with her to get to House, who had been rejecting the woman as a patient for many years. Meanwhile, Lucas continues on Wilson's trail.",Candidiasis secondary to Sjögren syndrome
91,5,92,6,Joy,Deran Sarafian,David Hoselton,2008-10-28,13.49,"The team take on the case of a middle-aged manwho has been experiencing recurring blackouts, time lapses and sleepwalking. They soon find out that the man's 12-year-old daughterhas also been experiencing sleepwalking spells. The man's condition deteriorates and his daughter also begins to experience more symptoms. Meanwhile, House finds out Cuddy is going to adopt a baby that is due in two weeks. However, the birth motherhas a strange rash on her arm, so Cuddy takes on her case as both a doctor and a potential mother.",Familial Mediterranean fever (Jerry and Samantha) and pulmonary hypoplasia (Joy)
92,5,93,7,The Itch,Greg Yaitanes,Peter Blake,2008-11-11,13.06,"An agoraphobic manfalls ill and refuses to leave his home to be treated at the hospital. Therefore, House and the team go to his home to figure out what might be wrong. Cameron takes charge of the case as she had treated the patient in the past and she and the team figure out ways to treat him at his home. However, the patient's condition worsens and it becomes difficult to treat him at his home. House and the team plan to get the man into the hospital for surgery without causing any problems. Meanwhile, Cameron and Chase attempt to work through issues in their relationship, and House deals with an annoying itch he cannot seem to scratch, with Wilson making his own analogies about the problem.",Lead poisoning from shards of a bullet
93,5,94,8,Emancipation,Jim Hayman,Pamela Davis & Leonard Dick,2008-11-18,13.26,"The team takes on the case of a 16-year-old factory managerwho collapsed when her lungs suddenly filled with fluid while at work. The teenager informs House and team that she has been an emancipated minor ever since her parents died. Meanwhile, Foreman asks for House's permission to work on a clinical trial and House rejects his proposal. In an effort to prove himself capable of working without House's supervision, Foreman takes on his own pediatric case. But when the unexplained illness brings the childto the brink of death, Foreman is left questioning his ability to work free from House's custody.",Acute promyelocytic leukemia and arsenic poisoning (Sophia) and Iron poisoning (Jonah)
94,5,95,9,Last Resort,Katie Jacobs,Story by : Matthew V. LewisTeleplay by : Matthew V. Lewis & Eli Attie,2008-11-25,12.87,"A mantakes over Cuddy's office and holds House, Thirteen, and several patients hostage, demanding a diagnosis. To make sure that the doctors are not going to sedate him, he forces Thirteen to act as a guinea pig for his treatments. House has to find a way to end the standoff before Thirteen becomes seriously ill, and before SWAT start their assault.",Melioidosis
95,5,96,10,Let Them Eat Cake,Deran Sarafian,Russel Friend & Garrett Lerner,2008-12-02,12.51,"A fitness guruknown for her ""natural"" lifestyle collapses while shooting an infomercial. Meanwhile, Thirteen participates in a clinical drug trial for Huntington's disease led by Foreman; Kutner operates an online medical-advice clinic under House's name; and Cuddy moves into House's office while hers is being repaired, much to House's dismay.","Hereditary coproporphyria (Emmy) and Malingering (Deedee, paid by House)"
96,5,97,11,Joy to the World,David Straiton,Peter Blake,2008-12-09,14.05,"A troubled teencollapses during her high-school Christmas program; Foreman and Thirteen learn more about each other as they work together on the Huntington's disease drug trial; House gives and receives holiday gifts, leading to team speculation; and Cuddy receives a gift as well.",Post-partum eclampsia
97,5,98,12,Painless,Andrew Bernstein,Thomas L. Moran & Eli Attie,2009-01-19,15.02,"At Cameron's urging, the team takes the case of a suicidal manwho suffers from excruciating chronic pain—pain that mirrors House's. Meanwhile, Cuddy discovers that caring for her new foster baby leaves her little time to run the hospital; and Foreman and Thirteen continue to explore their complicated relationship as they work together on their Huntington's disease drug trial.",Abdominal epilepsy
98,5,99,13,Big Baby,Deran Sarafian,Lawrence Kaplow & David Foster,2009-01-26,15.69,Cuddy decides to spend more time at home to take care of her new foster baby and gives Cameron the responsibility of overseeing House. The team treats a special education teacherwhose seemingly inherent goodness is actually a pathology. Foreman must make a potentially dangerous decision about Thirteen's participation in his drug trial.,Patent ductus arteriosus
99,5,100,14,The Greater Good,Lesli Linka Glatter,Sara Hess,2009-02-02,14.87,"House and the team take on the case of a womanwho collapsed in the middle of a cooking class. When they learn that the patient gave up her career as a highly renowned cancer researcher in order to pursue her own personal happiness, the members of the team question their own happiness. Meanwhile, Thirteen begins to suffer serious and life-threatening reactions to her experimental Huntington's disease clinical drug trial, and Cuddy retaliates against House and gives him a taste of his own medicine.",Ectopic endometriosis
100,5,101,15,Unfaithful,Greg Yaitanes,David Hoselton,2009-02-16,14.19,"When a priestwho runs a homeless shelter sees a bleeding Jesus hovering at his doorstep, he is admitted to the ER. House takes on the case as a distraction for the team while he confronts Foreman and Thirteen about their relationship. The team soon learns the priest had been involved in a molestation scandal that caused him to lose his faith. However, just as they are about to dismiss his case, the patient's condition takes a drastic turn for the worse, and House grapples with his past and his own personal beliefs.",Alcoholism and Wiskott–Aldrich syndrome
101,5,102,16,The Softer Side,Deran Sarafian,Liz Friedman,2009-02-23,14.85,"The team encounters a teenage boywho collapsed from severe pelvic pain after playing basketball. The boy was born with a condition called genetic mosaicism, or both male and female DNA, and the boy's parents inform House and the team that the boy is unaware of his condition. They chose a gender for him when he was born and raised him accordingly. However, when his condition worsens and his life is threatened, the parents wonder whether they made the right decision. Meanwhile, Cuddy and Wilson suspect something is wrong with House when he starts acting way too nice.",Kidney dysfunction secondary to dehydration and Nephrogenic Systemic Fibrosis
102,5,103,17,The Social Contract,Andrew Bernstein,Doris Egan,2009-03-09,12.38,"House and the team take on the case of Nick Greenwald, a book editor who loses his inhibitions and starts insulting co-workers at a dinner party one night before falling ill. The team realizes Nick has frontal lobe disinhibition, which has caused him to lose his filter and vocalize all of his innermost thoughts, resulting in extremely insulting outbursts. As Nick's free speech leads to some amusing and insightful comments regarding the team, he must deal with the consequences of being unable to lie to his wife and everyone else important in his life. Meanwhile, House suspects Wilson and Taub are keeping something from him when he catches them both in a lie.",Autoimmunity secondary to Doege-Potter syndrome
103,5,104,18,Here Kitty,Juan J. Campanella,Peter Blake,2009-03-16,13.13,"Nursing-home worker Morganfakes illness to get House's attention after the home's pet cat, Debbie, sleeps next to her. It seems that Debbie only pays a visit to people if they are about to die and does so with alarming accuracy. While House dismisses Morgan as a nut job, he is intrigued by her theory on the kiss-of-death cat, and sets out to disprove it. When Morgan falls seriously ill, he and the team are forced to get to the bottom of both mysteries. Meanwhile, Taub struggles with his finances and reconnects with an old high school friend at the clinic whose business successes present Taub with an entrepreneurial opportunity he had not previously considered.",Appendiceal Carcinoid
104,5,105,19,Locked In,Dan Attias,Russel Friend & Garrett Lerner & David Foster,2009-03-30,12.51,"House is injured in a motorcycle accident in New York and finds himself in bed next to a patientsuffering from complete paralysis from a bicycling accident. As House transfers the patient to Princeton to determine what's wrong with him, Wilson tries to find out why House was in New York in the first place.",Locked-in syndrome secondary to Leptospirosis
105,5,106,20,Simple Explanation,Greg Yaitanes,Leonard Dick,2009-04-06,13.29,"An older woman, Charlotte, who has been taking care of her husband Eddiefor the last six months, is rushed to Princeton-Plainsboro for treatment after collapsing at Eddie's deathbed from respiratory failure. The case is further complicated as Eddie's condition improves while Charlotte's deteriorates. Meanwhile, the team tries to deal with their grief over Kutner's sudden suicide.",Visceral leishmaniasis (Charlotte) and Blastomycosis (Eddie)
106,5,107,21,Saviors,Matthew Penn,Eli Attie & Thomas L. Moran,2009-04-13,12.19,"Staff at Princeton-Plainsboro, particularly House and the team, try to deal with Kutner's recent suicide while Cameron presents House with the case of an environmentalistwho collapsed in the middle of a protest. Meanwhile, Cameron cancels a trip that Chase had planned for them and spends the next few days avoiding him for a surprising reason.",Sporotrichosis
107,5,108,22,House Divided,Greg Yaitanes,Liz Friedman & Matthew V. Lewis,2009-04-27,11.69,"A deaf 14-year-old boy, Seth, collapses in the middle of a wrestling match after ""hearing"" explosions. House suffers from lack of sleep, which causes him to hallucinate that Amber is with him, helping him to solve the case. House also plans Chase's bachelor party — much to the dismay of Cameron — with the help of Amber. But House soon realizes that Amber is dangerous, and that she is not helpful to the case when Cuddy calls him to let him know that his diagnosis was wrong. The team goes to the hospital after the bachelor party ends suddenly to figure out what is wrong with their patient — after they sober up.",Sarcoidosis
108,5,109,23,Under My Skin,David Straiton,Lawrence Kaplow & Pamela Davis,2009-05-04,12.04,"House and the team are given the challenging case of a ballerinawhose lungs collapse during a rehearsal. After first facing the prospect of never dancing again, the ballerina's future seems even more grim when the treatment causes her skin to fall off. House must solve this daunting puzzle while going to desperate measures to cure his hallucination; he continues to suffer from a severe lack of sleep and is still haunted by Amber. While enlisting Wilson's help to diagnose himself, he is willing to do the unthinkable to make his visions stop.",Gonorrhea (Penelope) and Vicodin addiction (House)
109,5,110,24,Both Sides Now,Greg Yaitanes,Doris Egan,2009-05-11,12.74,"House and the team are intrigued by Scott, a man who has undergone a corpus callosotomy procedure to treat epilepsy. Due to this, both sides of his brain are at war for dominance over the body resulting in him having Alien Hand Syndrome where he can't control his left arm. At the same time Cuddy and House try to deal with their relationship after spending the night at his apartment. The next day, House tells Wilson that he has stopped taking drugs and had sex with Cuddy, to which Wilson responds ""Wow"". But he also tells him that Cuddy may be repressing her feelings for him, and is trying to avoid him. Finally House realizes that his night with Cuddy and her helping him to stop his addiction to Vicodin was all an elaborate hallucination. With his hallucinations spiraling out of control, House is forced to go into a mental health facility after becoming unable to tell fantasy from reality.","Propylene glycol toxicity (Scott), Pancreatic tumor (Eugene Schwartz) and Psychosis (House)"
110,6,111,1,Broken[n 1],Katie Jacobs,Russel Friend & Garrett Lerner & David Foster & David Shore,2009-09-21,15.76,"House begins a detox program at Mayfield Psychiatric Hospital to get the Vicodin out of his system in an attempt to control his hallucinations. House being House, he tries to fool the doctors by not taking his medicine pretending he is getting better, but soon realizes that he has deep underlying issues. He starts his treatment and plans to leave the facility once he is clean, but he is strong-armed into staying by his attending physician, Dr. Darryl Nolan. Dr. Nolan agrees to write a recommendation to reinstate House's medical license only if House agrees to further treatment. When House is moved to a new ward in the hospital, he develops a close relationship with his new roommate, Alvie, and Lydia, a frequent visitor who helps House bend the rules. House asks Alvie to help him uncover incriminating information about Dr. Nolan that would allow him to blackmail his way out of the treatment center and convinces Lydia to loan him her car to sneak out a delusional patient in an attempt by House to undermine Dr. Nolan's course of treatment. But when devastating events ensue, House is humbled into reluctantly accepting help. ",
111,6,113,3,Epic Fail,Greg Yaitanes,Sara Hess & Liz Friedman,2009-09-28,14.44,"House returns and has surprising news for Cuddy; on the advice of his therapist, Dr. Darryl Nolan, he's quitting his job; an ailing video game creatoropts for treatments suggested by people on the Internet rather than listening to the team, which is now being run by Foreman. Taub quits saying he only wanted this job to work with House. In the end, House wants to go back to his job in diagnosing, to help him ignore his leg pain. We learn that he is the one who solved Foreman's case. In the end Foreman fires Thirteen saying continuing to work together might drive them apart.",Fabry disease
112,6,114,4,The Tyrant,David Straiton,Peter Blake,2009-10-05,13.74,"The team treats a controversial African politician named Dibalawho has fallen ill while coming to America to give a speech at the United Nations. Meanwhile, Wilson tries to make amends with a feuding neighbor. Fearing a planned genocide, Chase purposely mixes up the blood tests with that of a body in the morgue, causing Dibala to be treated for the wrong illness. The dictator is killed, leaving Chase and Foreman guilty.",Blastomycosis (Dibala) and Phantom limb (Murphy)
113,6,115,5,Instant Karma,Greg Yaitanes,Thomas L. Moran,2009-10-12,13.5,"A wealthy businessmanbrings his son, who is suffering from inexplicable stomach pains, to Princeton Plainsboro and insists on having Dr. House handle the case. The father of the patient believes the karmic penalty of his financial success is that he is victim to personal tragedy, and that the answer to his son's medical mystery lies in a reverse of fate rather than medical treatment. Meanwhile, Foreman and Chase prepare to present information on the Dibala case.",Primary Antiphospholipid syndrome
114,6,116,6,Brave Heart,Matt Shakman,Lawrence Kaplow,2009-10-19,11.65,"Cameron pushes the team to treat a manwhose father, grandfather and great-grandfather have all died of a sudden heart attack before the age of 40, but House is reluctant to take the case without distinctive symptoms. Meanwhile, Chase is haunted by his actions in the Dibala case.",Intracranial berry aneurysm of the brain stem
115,6,117,7,Known Unknowns,Greg Yaitanes,Matthew V. Lewis & Doris Egan,2009-11-09,13.31,"After a wild night out, a teenage girlis brought to Princeton Plainsboro with severely swollen appendages. The team must work to diagnose the young girl, who is less than honest about what happened the night she fell ill. As her condition worsens, she becomes unable to distinguish fact from fiction. Meanwhile, Cuddy, Wilson and House spend a weekend away from the hospital to attend a medical conference, but things don't go as planned when House's private investigator, Lucas Douglas, returns.",Vibrio vulnificus and haemochromatosis
116,6,118,8,Teamwork,David Straiton,Eli Attie,2009-11-16,12.67,"After House's medical license is reinstated, he reclaims his role as Head of Diagnostics in time to treat Hank Hardwick, an adult film star admitted to Princeton-Plainsboro for pulsating eye pain. Meanwhile, Cuddy is reminded that Princeton-Plainsboro is not conducive to healthy personal relationships. At the end of the episode, Cameron leaves the team and Chase.",Strongyloides and Crohn's disease
117,6,119,9,Ignorance Is Bliss,Greg Yaitanes,David Hoselton,2009-11-23,11.95,"On the eve of Thanksgiving, House and the team take on the case of James Sidas, an exceptionally brilliant physicist and author who traded his successful career for a job as a courier. For the ailing patient, intelligence is a miserable burden that has prompted depression and addiction, and this, coupled with myriad strange symptoms, nearly stumps the team. Meanwhile, the doctors at Princeton-Plainsboro wrestle with strained personal relationships.",Thrombotic thrombocytopenic purpura complicated by dextromethorphan abuse and multiple accessory spleens
118,6,120,10,Wilson,Lesli Linka Glatter,David Foster,2009-11-30,13.24,"An old friend and former patientof Wilson's experiences paralysis in his left arm during a hunting trip. Wilson takes this case himself. House thinks his friend has leukemia like before, however Wilson stays optimistic until the worst happens. Now he is forced to make radical decisions. Cuddy continues her search for real estate.",Acute lymphoblastic leukemia
119,6,121,11,The Down Low,Nick Gomez,Sara Hess & Liz Friedman,2010-01-11,12.25,"The team treat a manwho associates with drug dealers after he collapses during a sale, however the man refuses to reveal personal information to the team because it might incriminate him. Foreman's teammates conspire to convince him that his salary is less than theirs. Wilson buys a new condo, and House and Wilson are both flirting with Nora, an attractive new neighbor in their building who thinks that House and Wilson are in a committed relationship.",Hughes–Stovin syndrome
120,6,122,12,Remorse,Andrew Bernstein,Peter Blake,2010-01-25,14.21,"The team takes on the case of Valerie, an attractive executive experiencing random episodes of excruciating pain. House agrees to take the case based on Valerie's looks, and while treating her, the men on the team are charmed by Valerie's beauty and personality, with Thirteen looking beyond the superficial to try to discover a link to her illness. Meanwhile, House uncharacteristically attempts to alleviate his conscience by reaching out to a former medical school colleaguehe wronged.",Psychopathy secondary to Wilson's disease
